Name,CLARK Y AIRFOIL
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),2.5
,
Airfoil surface,
X(mm),Y(mm)
99.907436,-4.302066
98.918725,-4.021702
97.929990,-3.741858
96.941207,-3.463132
95.952350,-3.186095
93.974321,-2.639224
91.995817,-2.103243
90.016856,-1.577732
88.037458,-1.062241
86.057616,-0.556911
84.077314,-0.062100
82.096539,0.421851
80.115275,0.894632
78.133512,1.355965
76.151243,1.805698
74.168461,2.243703
72.185162,2.669859
70.201342,3.084086
68.216992,3.486165
66.232070,3.875146
64.246525,4.249871
62.260308,4.609180
60.273368,4.951956
58.285661,5.277148
56.297173,5.584467
54.307902,5.873833
52.317846,6.145227
50.327002,6.398577
48.335361,6.633675
46.342872,6.849341
44.349464,7.043958
42.355067,7.215936
40.359612,7.363667
38.363042,7.485872
36.365406,7.583641
34.366791,7.659021
32.367290,7.714071
30.366989,7.750828
28.365932,7.770251
26.363833,7.765817
24.360270,7.727855
22.354813,7.646505
20.347019,7.511645
18.336485,7.314005
16.323130,7.051777
14.306998,6.725939
12.287897,6.332076
10.265276,5.857620
8.238533,5.288754
6.206965,4.609353
5.188367,4.205219
4.166868,3.734628
3.141182,3.168149
2.108774,2.447696
1.276754,1.731767
0.859150,1.337297
0.438544,0.874083
0.225120,0.570974
0.116162,0.367993
0.060155,0.231496
0.000000,0.000000
0.029582,-0.468736
0.073987,-0.597976
0.165737,-0.789110
0.353764,-1.067707
0.736923,-1.462156
1.124821,-1.748058
1.909670,-2.112539
2.898540,-2.389267
3.889233,-2.624254
4.881634,-2.820138
5.875960,-2.971904
7.868247,-3.192196
9.862335,-3.371258
11.857881,-3.516911
13.854768,-3.631833
15.852803,-3.720491
17.851796,-3.787189
19.851565,-3.836124
21.851934,-3.871303
23.852763,-3.895961
25.853920,-3.913097
27.855274,-3.925726
29.856693,-3.936868
31.858067,-3.949038
33.859387,-3.962457
35.860670,-3.976705
37.861935,-3.991373
39.863200,-4.006031
41.864481,-4.020349
43.865776,-4.034318
45.867081,-4.048077
47.868391,-4.061716
49.869700,-4.075355
51.871006,-4.089093
53.872308,-4.102922
55.873607,-4.116811
57.874905,-4.130719
59.876202,-4.144638
61.877501,-4.158527
63.878801,-4.172395
65.880101,-4.186254
67.881403,-4.200093
69.882703,-4.213941
71.884004,-4.227790
73.885304,-4.241649
75.886605,-4.255508
77.887905,-4.269366
79.889205,-4.283225
81.890505,-4.297084
83.891806,-4.310942
85.893106,-4.324801
87.894406,-4.338660
89.895707,-4.352518
91.897007,-4.366377
93.898307,-4.380236
95.899607,-4.394094
96.900257,-4.401029
97.900907,-4.407963
98.901558,-4.414887
99.902208,-4.421812
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.044869,-0.118620
0.095075,-0.114992
0.195429,-0.109068
0.396154,-0.096812
0.798036,-0.062429
1.200788,-0.008145
2.009222,0.167578
3.019861,0.389441
4.028051,0.555187
5.035000,0.692541
6.041462,0.818724
8.053390,1.048279
10.063805,1.243181
12.072889,1.407583
14.080883,1.547053
16.087967,1.665643
18.094140,1.763408
20.099292,1.837760
22.103374,1.887601
24.106516,1.915947
26.108877,1.926360
28.110603,1.922262
30.111841,1.906980
32.112678,1.882516
34.113089,1.848282
36.113038,1.803468
38.112489,1.747250
40.111406,1.678818
42.109774,1.597793
44.107620,1.504820
46.104976,1.400632
48.101876,1.285980
50.098351,1.161611
52.094426,1.028067
54.090105,0.885456
56.085390,0.733828
58.080283,0.573214
60.074785,0.403659
62.068904,0.225327
64.062663,0.038738
66.056086,-0.155554
68.049197,-0.356964
70.042023,-0.564928
72.034583,-0.778966
74.026883,-0.998973
76.018924,-1.224905
78.010709,-1.456701
80.002240,-1.694296
81.993522,-1.937616
83.984560,-2.186521
85.975361,-2.440856
87.965932,-2.700450
89.956282,-2.965125
91.946412,-3.234810
93.936314,-3.509730
95.925979,-3.790095
96.920732,-3.932080
97.915449,-4.074910
98.910141,-4.218295
99.904822,-4.361939
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
99.904822,-4.361939
